category,min,max,mean,stddev,sum,count
Washington Square,23.05649005,171.2369728,86.76498067,66.2926474557,433.82490335,5
Beaconsfield,6.91210482,309.41905082,158.16557782,213.904712873,316.33115564,2
Brookline Village,0.34618985,171.94706052,75.4865257729,80.0410618633,528.40568041,7
Stony Brook,1.25359878,115.38987325,51.0642676886,47.1417897688,357.44987382,7
Green Street,25.80218442,142.62125,80.9713485675,61.3698406961,323.88539427,4
Quincy Center,2.79028727,109.63442886,58.9433357375,58.2664085141,235.77334295,4
Andrew,3.62601706,166.32859607,54.248548315,76.3408992517,216.99419326,4
Museum Of Fine Arts,0.00016484,60.30523177,30.1400563975,34.2692059202,120.56022559,4
Fenway Park,0.01460415,221.80117417,70.2514852867,96.1902723028,421.50891172,6
Cedar Grove,7.99235586,54.90435842,35.9893972767,24.7395863469,107.96819183,3
North Station,67.27332179,217.15982529,142.21657354,105.985763033,284.43314708,2
Lechmere,23.28640024,217.13636525,82.593909705,90.2786082654,330.37563882,4
Brookline Hills,2.39162567,108.24505009,53.3056494125,50.5717666102,213.22259765,4
Milton,7.47306948,27.203515,14.590929454,7.56305837343,72.95464727,5
Community College,1.25882966,29.31268272,16.3889129725,13.8962089993,65.55565189,4
Boston College,0.0,42.61889325,15.2379770183,15.5117666726,91.42786211,6
Quincy Adams,8.79245749,116.12633945,42.395508885,49.6178993702,169.58203554,4
Airport,2.71862485,132.62551155,67.6720682,91.8580405084,135.3441364,2
Fairbanks Street,0.14877075,278.62603126,154.469525107,144.423003433,617.87810043,4
Longwood,0.31466561,212.17516943,54.7180775483,86.490696707,328.30846529,6
Blandford Street,0.0,157.44696724,38.6686691329,56.7840088182,270.68068393,7
Government Center,29.51118151,189.52205364,86.7885259933,89.1659589798,260.36557798,3
Allston Street,1.90205286,270.14823759,100.074600221,109.0497634,900.67140199,9
Park Street,0.0,260.75033128,83.097761022,114.96526765,415.48880511,5
Wollaston,9.57169059,128.18533651,52.600284842,46.7412558697,263.00142421,5
Malden Center,36.23083768,110.79396105,69.6042861375,37.15449937,278.41714455,4
