category,min,max,mean,stddev,sum,count
Museum Of Fine Arts,1354526.0,1354526.0,1354526.0,nan,1354526.0,1
Fenway Park,960.0,8456170.0,4381102.25,3575118.21694,17524409.0,4
Cedar Grove,683171.0,3165866.0,1926345.0,1241351.53122,5779035.0,3
North Station,7442111.0,16648992.0,12045551.5,6510247.98868,24091103.0,2
Lechmere,1948420.0,26040296.0,8900942.5,11476398.2889,35603770.0,4
Brookline Hills,186485.0,15411822.0,7461007.0,7342190.30579,29844028.0,4
Milton,1037927.0,2666809.0,1612683.75,770288.919011,6450735.0,4
Community College,105329.0,3530361.0,1816577.0,1747625.6706,7266308.0,4
Boston College,384363.0,3129709.0,1594704.6,1402077.16095,7973523.0,5
Quincy Adams,560519.0,7048172.0,2649134.5,2972006.49642,10596538.0,4
Airport,234481.0,5962445.0,3098463.0,4050282.18679,6196926.0,2
Fairbanks Street,17945.0,30350455.0,15210238.75,15369416.2075,60840955.0,4
Longwood,95652.0,18830546.0,5891813.8,8212299.01697,29459069.0,5
Blandford Street,325188.0,4795047.0,1916490.25,2078250.01241,7665961.0,4
Government Center,3356897.0,5616941.0,4486919.0,1598092.43818,8973838.0,2
Allston Street,57423.0,13285350.0,3887999.33333,4856127.38444,34991994.0,9
Park Street,161374.0,29660350.0,11161726.5,13862831.6312,44646906.0,4
Wollaston,381059.0,5516584.0,2845963.8,1892365.18784,14229819.0,5
Malden Center,1432930.0,6822581.0,4125882.0,2694827.45374,12377646.0,3
