category,min,max,mean,stddev,sum,count
Boston University West,1593.21270735,100640.310228,38404.120566,54197.9298303,115212.361698,3
Pleasant Street,2379.3152834,260673.055587,77417.3269319,123599.070773,309669.307727,4
Ruggles,2.71920952,123747.172124,31934.1626482,61229.5473147,127736.650593,4
Braintree,14.86950224,36079.271851,13983.274693,19357.2620115,41949.8240791,3
Heath Street,5013.41251305,262315.990138,105849.55385,112806.877618,423398.215402,4
Sutherland Road,74.61547576,500932.302814,183372.409703,199419.153014,1283606.86792,7
Reservoir,10914.5199326,129593.603518,58749.7982045,57240.4947868,234999.192818,4
Charles/MGH,4403.1582243,828422.502734,172228.846736,366834.692882,861144.23368,5
Chiswick Road,92598.7970803,421814.362629,254639.574138,144288.950034,1018558.29655,4
Jackson Square,10812.3834511,88466.7383994,52306.4597785,32078.4890037,209225.839114,4
Revere Beach,7558.90281444,246644.622292,81069.1012711,111845.703645,324276.405084,4
Brigham Circle,2518.01854733,321264.620791,139046.778979,147459.164269,695233.894897,5
Englewood Avenue,6944.08694721,168450.266813,90010.0264613,66012.5423898,360040.105845,4
Symphony,566.02867704,629155.687863,193099.553758,232795.823107,1930995.53758,10
Saint Paul Street,4799.1690703,365241.883315,133659.850279,138190.60981,801959.101676,6
Washington Square,20982.4613438,228100.196436,111340.220105,87856.0733675,556701.100524,5
Beaconsfield,313103.782645,313103.782645,313103.782645,nan,313103.782645,1
Brookline Village,102.932655,226940.28789,76212.6238489,102796.453233,457275.743093,6
Stony Brook,1165.95747885,111565.523159,34476.6071725,46243.5024152,172383.035862,5
Green Street,19363.8447398,83079.4604063,56258.532848,33030.7494413,168775.598544,3
Quincy Center,983.66073413,111455.502657,49352.9788891,52297.330435,197411.915556,4
Andrew,2908.87768664,153292.59235,46853.0843157,71909.0322226,187412.337263,4
Museum Of Fine Arts,23907.2373569,42032.7465437,32969.9919503,12816.6704585,65939.9839005,2
Fenway Park,13.1273835,244887.888735,104127.403651,120485.74586,520637.018253,5
Cedar Grove,4741.8431312,52529.938981,22043.5189222,26482.1380801,66130.5567667,3
North Station,134054.460096,277914.002074,205984.231085,101724.057671,411968.46217,2
Lechmere,19193.9883075,192589.97269,78585.1888841,80050.9724205,314340.755537,4
Brookline Hills,2420.10645977,68518.3734414,36207.544158,31455.4767064,144830.176632,4
Milton,2924.28002544,23249.4172044,11841.2551591,10014.7086894,47365.0206363,4
Community College,1037.599695,30327.727248,16171.9412395,12298.4796769,64687.7649581,4
Boston College,2060.82058482,34378.3201521,14966.0211087,12632.8316214,74830.1055434,5
Quincy Adams,7138.16596875,76663.8769241,28192.0585705,32508.3320875,112768.234282,4
Airport,2119.97731457,107945.915401,55032.9463578,74830.2384463,110065.892716,2
Fairbanks Street,169.18930406,462769.359563,208032.59819,207924.589105,832130.392759,4
Longwood,3344.746643,174460.925467,63554.857068,82588.0829287,317774.28534,5
Blandford Street,878.0858475,183294.511024,53515.7769345,66901.4240641,321094.661607,6
Government Center,44502.8617124,263299.482223,140378.542658,111877.499065,421135.627975,3
Allston Street,2499.24869065,375313.2946,117953.268096,158885.677226,943626.144769,8
Park Street,4712.28103506,393211.499557,139417.891706,181511.969392,557671.566825,4
Wollaston,14791.7235262,46767.1927255,31476.8596475,17691.5526895,125907.43859,4
Malden Center,50627.1466404,111616.924414,80150.278707,30922.0393554,320601.114828,4
