category,min,max,mean,stddev,sum,count
Sutherland Road,0.27886581,15.93676987,9.5906509275,6.63537631692,38.36260371,4
Reservoir,1.29625555,30.83526114,11.60907261,16.6650639373,34.82721783,3
Charles/MGH,0.0,39.8178217,19.90891085,28.1554517361,39.8178217,2
Chiswick Road,1.96751316,17.89742962,7.4703091425,7.10085149809,29.88123657,4
Jackson Square,0.76813399,3.1560757,2.05675555333,1.20517329557,6.17026666,3
Revere Beach,0.43998743,9.79224464,3.79485237667,5.20609178703,11.38455713,3
Brigham Circle,0.52677011,4.66348225,2.59512618,2.92509720601,5.19025236,2
Englewood Avenue,0.27743128,21.81519491,13.21445611,11.4048826362,39.64336833,3
Symphony,0.0,17.35130989,5.824550975,8.17989256294,23.2982039,4
Saint Paul Street,0.0,40.59043302,12.3725597183,15.2899427638,74.23535831,6
Washington Square,0.39248891,18.94717728,8.9786232575,8.51424279931,35.91449303,4
Beaconsfield,39.26076336,39.26076336,39.26076336,nan,39.26076336,1
Brookline Village,0.02675368,16.60507289,5.90104653667,9.28465999344,17.70313961,3
Stony Brook,5.16920856,10.44641899,7.6412555,2.26249211417,30.565022,4
Green Street,7.66111427,24.1817836,15.921448935,11.681877313,31.84289787,2
Quincy Center,5.56164521,8.05646195,6.80905358,1.76410183467,13.61810716,2
Andrew,5.15783225,8.740086,6.948959125,2.53303591856,13.89791825,2
Museum Of Fine Arts,0.0,0.0,0.0,0.0,0.0,3
Fenway Park,4.767097,8.64758246,6.70733973,2.74391758306,13.41467946,2
Cedar Grove,3.15231377,5.63826605,4.39528991,1.75783371489,8.79057982,2
North Station,3.54727214,3.54727214,3.54727214,nan,3.54727214,1
Lechmere,2.21771536,44.57242411,16.38302105,24.4128412645,49.14906315,3
Brookline Hills,2.51184952,23.40169333,12.956771425,14.771350216,25.91354285,2
Milton,0.6077665,4.54453853,2.05420263667,2.16606521844,6.16260791,3
Community College,0.52457865,3.00326744,1.763923045,1.75269765186,3.52784609,2
Boston College,0.0,7.08630997,2.13526858667,3.10142221635,12.81161152,6
Quincy Adams,0.25771819,16.30290458,5.63640433,9.23757192767,16.90921299,3
Airport,0.42997879,3.40517854,1.917578665,2.10378391861,3.83515733,2
Fairbanks Street,13.92985097,27.78423485,20.85704291,9.79652879071,41.71408582,2
Longwood,0.03766401,22.68976499,10.60512617,11.4020080892,31.81537851,3
Blandford Street,0.0,8.05411324,2.70128199,4.63575453722,8.10384597,3
Government Center,9.93108225,9.93108225,9.93108225,nan,9.93108225,1
Allston Street,0.0,6.67851518,3.24240032,2.99847063293,12.96960128,4
Park Street,0.0,8.39169133,4.195845665,5.93382184507,8.39169133,2
Wollaston,3.23353726,18.40164136,9.98407969,7.72023706611,29.95223907,3
Malden Center,0.00541175,9.66258265,2.9706228775,4.53020773726,11.88249151,4
